source,target,type,weight
OneindiaBengali,ecb,tweet,1.0
StoneDunk,ecb,tweet,1.0
StoneDunk,NatAsianCC,mention,0.5
StoneDunk,accacricket,mention,0.5
StoneDunk,hopenothate,mention,0.5
StoneDunk,FFRAFAction,mention,0.5
StoneDunk,kickitout,mention,0.5
StoneDunk,JohnAmaechi,mention,0.5
pslinfopk,ecb,tweet,1.0
GautamPolitical,ecb,tweet,1.0
IndiaSportscafe,ecb,tweet,1.0
naadiisporty,ecb,tweet,1.0
stefdcfc89,ecb,tweet,1.0
stefdcfc89,benstokes38,mention,0.5
MrGrinchy,ecb,tweet,1.0
