username,language,isInfluencer,profession,isBank,isViral,hashtags
fxstreetnewsvn,vi,0,unknown,0,0,"['Copper', 'Commodities', 'Fed', 'ECB', 'Recession']"
Hopehope_G_hope,en,0,finance expert,0,0,"['properties', 'rates', 'FederalReserve', 'USA', 'ECB', 'G7']"
fxstreetcn,en,0,unknown,0,0,"['EURUSD', 'Fed', 'ECB', 'Inflation', 'CentralBanks']"
fxstreetnewsid,id,0,unknown,0,0,"['EURUSD', 'Fed', 'ECB', 'Inflation', 'CentralBanks']"
InsightviewEu,da,0,unknown,0,0,"['Inflation', 'ECB', 'dkpol', 'eupol', 'SkeletterIskabet']"
FT,0,0,0,0,0,0
FXStreetNews,en,0,unknown,0,0,"['EURUSD', 'Fed', 'ECB', 'Inflation', 'CentralBanks']"
Sagar_Dua24,0,0,0,0,0,0
BizsolFinserv,en,0,unknown,0,0,"['INR', 'USDINR', 'Rupee', 'Fed', 'ECB', 'BOE', 'Forex', 'forexsignals']"
wiki_bit,ja,0,unknown,0,0,"['ニュース', 'スリーアローズキャピタル', '清算', '仮想通貨', '暗号通貨', 'デジタル資産', '投資', 'ブロックチェーン', 'BitMex', 'Celsius', 'BlockFi', 'USDC', 'UST', 'Terra', 'LUNA', '融資', 'ECB', '3AC']"
lfalvey,en,0,unknown,0,0,"['USD', 'ECB']"
cricexec,en,0,unknown,0,0,"['EoinMorgan', 'ECB', 'EnglandCricket', 'ThankYouMorgs']"
robkey612,0,0,0,0,0,0
fxstreetnewsid,id,0,unknown,0,0,"['Copper', 'Commodities', 'Fed', 'ECB', 'Recession']"
fxstreetcn,en,0,unknown,0,0,"['Copper', 'Commodities', 'Fed', 'ECB', 'Recession']"
AoodSumrit,th,0,unknown,0,0,"['XAUUSD', 'Gold', 'FED', 'ECB', 'BOE', 'PCE', 'Unemployment']"
FXStreetNews,en,0,unknown,0,0,"['Copper', 'Commodities', 'Fed', 'ECB', 'Recession']"
KarenFahel,pt,0,unknown,0,0,"['bbmp', 'ecb', 'bahia', 'campeão']"
ECBahia,0,0,0,0,0,0
mytsarmiento,de,0,unknown,0,0,['ECB']
TheTrendLetter,en,0,unknown,0,0,"['ECB', 'Fed', 'inflation']"
geckozoo,en,0,supporter,0,0,"['EU', 'Europe', 'cryptolaw', 'aml', 'kyc', 'surveillance', 'ecb', 'cbdc', 'tfr']"
dartfrog01,0,0,0,0,0,0
FXStreetNews,en,0,unknown,0,0,"['EURUSD', 'Inflation', 'Recession', 'Fed', 'ECB']"
FXStreetNews,en,0,unknown,0,0,"['Gold', 'XAUUSD', 'Fed', 'Inflation', 'ECB']"
grabancijas,en,0,unknown,0,0,"['ECB', 'cash', 'yield', 'direct', 'deficit', 'financing']"
TraderMarcoCost,de,0,unknown,0,0,['ECB']
realpeopleview,en,0,unknown,0,0,"['MichaelVaughan', 'muslims', 'rafiq', 'andrewgale', 'ecb']"
